cnt,exercise,ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
327,2,                -971,-142,-196,                5,-73,-19,                -316,321,429,                bytearray(b'@>5\xfcr\xff<\xff\x05\x00\xb7\xff\xed\xff\xc4\xfeA\x01\xad\x01'),
328,2,                -976,-147,-219,                1,-58,-42,                -310,318,424,                bytearray(b'G>0\xfcm\xff%\xff\x01\x00\xc6\xff\xd6\xff\xca\xfe>\x01\xa8\x01'),
329,2,                -997,-159,-240,                -2,-36,-58,                -307,318,418,                bytearray(b'M>\x1b\xfca\xff\x10\xff\xfe\xff\xdc\xff\xc6\xff\xcd\xfe>\x01\xa2\x01'),
330,2,                -1005,-173,-241,                15,-20,-59,                -304,327,423,                bytearray(b'S>\x13\xfcS\xff\x0f\xff\x0f\x00\xec\xff\xc5\xff\xd0\xfeG\x01\xa7\x01'),
331,2,                -1010,-177,-245,                28,-33,-86,                -303,315,426,                bytearray(b'Y>\x0e\xfcO\xff\x0b\xff\x1c\x00\xdf\xff\xaa\xff\xd1\xfe;\x01\xaa\x01'),
332,2,                -963,-174,-244,                42,-38,-114,                -313,319,430,                bytearray(b'`>=\xfcR\xff\x0c\xff*\x00\xda\xff\x8e\xff\xc7\xfe?\x01\xae\x01'),
333,2,                -954,-193,-212,                51,-33,-88,                -303,321,414,                bytearray(b'f>F\xfc?\xff,\xff3\x00\xdf\xff\xa8\xff\xd1\xfeA\x01\x9e\x01'),
334,2,                -965,-188,-194,                46,-41,-123,                -306,315,436,                bytearray(b'l>;\xfcD\xff>\xff.\x00\xd7\xff\x85\xff\xce\xfe;\x01\xb4\x01'),
335,2,                -926,-178,-187,                40,-51,-113,                -297,319,427,                bytearray(b'r>b\xfcN\xffE\xff(\x00\xcd\xff\x8f\xff\xd7\xfe?\x01\xab\x01'),
336,2,                -953,-204,-153,                37,-59,-77,                -292,321,433,                bytearray(b'y>G\xfc4\xffg\xff%\x00\xc5\xff\xb3\xff\xdc\xfeA\x01\xb1\x01'),
337,2,                -910,-196,-143,                10,-10,-112,                -285,321,430,                bytearray(b'\x7f>r\xfc<\xffq\xff\n\x00\xf6\xff\x90\xff\xe3\xfeA\x01\xae\x01'),
