cnt, time stamp, exercise, sample,         ACC X, ACC Y, ACC Z,         GYR X, GYR Y, GYR Z,         MAG X, MAG Y, MAG Z,         raw
237, 24200, 1, 1,                 380, 403, 844,                -4, -25, 0,                -91, -132, 39,                bytearray(b"\x88^|\x01\x93\x01L\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff|\xff\'\x00")
238, 24206, 1, 1,                 388, 402, 839,                -3, -26, 0,                -91, -130, 40,                bytearray(b'\x8e^\x84\x01\x92\x01G\x03\xfd\xff\xe6\xff\x00\x00\xa5\xff~\xff(\x00')
239, 24213, 1, 1,                 390, 406, 838,                -4, -25, 0,                -88, -135, 40,                bytearray(b'\x95^\x86\x01\x96\x01F\x03\xfc\xff\xe7\xff\x00\x00\xa8\xffy\xff(\x00')
240, 24219, 1, 1,                 381, 404, 842,                -4, -25, 0,                -82, -121, 37,                bytearray(b'\x9b^}\x01\x94\x01J\x03\xfc\xff\xe7\xff\x00\x00\xae\xff\x87\xff%\x00')
241, 24225, 1, 1,                 384, 402, 842,                -4, -26, 0,                -84, -129, 45,                bytearray(b'\xa1^\x80\x01\x92\x01J\x03\xfc\xff\xe6\xff\x00\x00\xac\xff\x7f\xff-\x00')
242, 24231, 1, 1,                 385, 404, 841,                -3, -25, 0,                -91, -124, 45,                bytearray(b'\xa7^\x81\x01\x94\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa5\xff\x84\xff-\x00')
243, 24238, 1, 1,                 383, 404, 840,                -4, -25, 0,                -90, -135, 43,                bytearray(b'\xae^\x7f\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa6\xffy\xff+\x00')
244, 24244, 1, 1,                 387, 402, 841,                -4, -25, 0,                -93, -129, 46,                bytearray(b'\xb4^\x83\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x7f\xff.\x00')
245, 24250, 1, 1,                 387, 404, 839,                -4, -25, 0,                -85, -133, 34,                bytearray(b'\xba^\x83\x01\x94\x01G\x03\xfc\xff\xe7\xff\x00\x00\xab\xff{\xff"\x00')
246, 24256, 1, 1,                 385, 401, 841,                -4, -25, 0,                -88, -130, 43,                bytearray(b'\xc0^\x81\x01\x91\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff~\xff+\x00')
