cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
354, -28452, 2, 2,                 386, 404, 841,                -3, -25, 0,                -87, -126, 37,                bytearray(b'\xdc\x90\x82\x01\x94\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa9\xff\x82\xff%\x00')
355, -28445, 2, 2,                 386, 404, 840,                -4, -25, 0,                -81, -130, 39,                bytearray(b"\xe3\x90\x82\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xaf\xff~\xff\'\x00")
356, -28439, 2, 2,                 384, 403, 843,                -4, -25, 0,                -90, -132, 43,                bytearray(b'\xe9\x90\x80\x01\x93\x01K\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff|\xff+\x00')
357, -28433, 2, 2,                 381, 404, 842,                -4, -25, 0,                -93, -118, 49,                bytearray(b'\xef\x90}\x01\x94\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff\x8a\xff1\x00')
358, -28427, 2, 2,                 388, 403, 840,                -3, -26, 0,                -88, -126, 36,                bytearray(b'\xf5\x90\x84\x01\x93\x01H\x03\xfd\xff\xe6\xff\x00\x00\xa8\xff\x82\xff$\x00')
359, -28420, 2, 2,                 385, 403, 840,                -4, -24, 0,                -88, -132, 45,                bytearray(b'\xfc\x90\x81\x01\x93\x01H\x03\xfc\xff\xe8\xff\x00\x00\xa8\xff|\xff-\x00')
360, -28414, 2, 2,                 382, 403, 842,                -3, -25, 0,                -90, -127, 39,                bytearray(b"\x02\x91~\x01\x93\x01J\x03\xfd\xff\xe7\xff\x00\x00\xa6\xff\x81\xff\'\x00")
361, -28408, 2, 2,                 384, 404, 841,                -3, -25, 0,                -87, -130, 45,                bytearray(b'\x08\x91\x80\x01\x94\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa9\xff~\xff-\x00')
362, -28402, 2, 2,                 385, 403, 840,                -4, -25, 0,                -90, -129, 51,                bytearray(b'\x0e\x91\x81\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x7f\xff3\x00')
363, -28395, 2, 2,                 386, 402, 841,                -4, -25, 0,                -87, -130, 36,                bytearray(b'\x15\x91\x82\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff~\xff$\x00')
364, -28389, 2, 2,                 386, 403, 839,                -4, -25, 0,                -84, -120, 36,                bytearray(b'\x1b\x91\x82\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x88\xff$\x00')
365, -28383, 2, 2,                 384, 404, 842,                -4, -25, 0,                -94, -129, 48,                bytearray(b'!\x91\x80\x01\x94\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x7f\xff0\x00')
366, -28377, 2, 2,                 381, 405, 842,                -4, -25, 0,                -91, -135, 48,                bytearray(b"\'\x91}\x01\x95\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa5\xffy\xff0\x00")
